time,e Jup calc,e Jup Runge-Kutta,e Jup Bulirsch-Stoer,e Sat calc,e Sat Runge-Kutta,e Sat Bulirsch-Stoer
1930,0.051420356,0.051800572,0.052326187,0.05299477,0.051054009,0.050358533
1940,0.051434443,0.051775761,0.052081033,0.052962095,0.048588491,0.048814605
1950,0.05144852,0.051233223,0.051346202,0.052929402,0.046769826,0.04904784
1960,0.051462587,0.050992784,0.051253668,0.05289669,0.04667961,0.050909668
1970,0.051476643,0.050659514,0.052017113,0.052863961,0.044295349,0.046327228
1980,0.051490688,0.050957977,0.052347775,0.052831213,0.046792086,0.045860411
1990,0.051504723,0.051739126,0.052422766,0.052798447,0.050824796,0.048930294
2000,0.051518748,0.051774387,0.052195205,0.052765663,0.048710634,0.047487459
2010,0.051532762,0.05129538,0.051486506,0.05273286,0.047857391,0.048791721
2020,0.051546766,0.05098274,0.051356514,0.05270004,0.047171431,0.051054979
2030,0.051560759,0.050565588,0.052015935,0.052667201,0.044050302,0.045955466
2040,0.051574742,0.050806941,0.052334203,0.052634345,0.046662379,0.044999297
2050,0.051588714,0.051731087,0.052437195,0.05260147,0.050440404,0.047393646
2060,0.051602676,0.051818835,0.052304578,0.052568577,0.048713826,0.045915128
2070,0.051616627,0.051341142,0.051579275,0.052535666,0.048815251,0.048147129
2080,0.051630567,0.051048069,0.051397424,0.052502737,0.047871548,0.050876467
2090,0.051644497,0.050490122,0.051988739,0.05246979,0.04432884,0.045924178
2100,0.051658417,0.050733848,0.052285776,0.052436825,0.046927996,0.044704213
2110,0.051672326,0.051763328,0.052429818,0.052403842,0.050274173,0.046249132
2120,0.051686224,0.051897697,0.052335952,0.052370841,0.048760538,0.044536991
2130,0.051700112,0.051488056,0.051648719,0.052337822,0.049758002,0.047366309
2140,0.051713989,0.051109157,0.051436461,0.052304785,0.048657427,0.050379062
2150,0.051727856,0.050505901,0.051867782,0.052271731,0.044919579,0.046003648
2160,0.051741712,0.05072207,0.052222887,0.052238658,0.047319905,0.044743593
2170,0.051755557,0.051862303,0.052425849,0.052205567,0.049816544,0.045242155
2180,0.051769392,0.05202858,0.05231789,0.052172459,0.048656777,0.043323615
2190,0.051783216,0.051656879,0.05167763,0.052139333,0.050410973,0.046517016
2200,0.05179703,0.051275986,0.051429291,0.052106189,0.049479892,0.04964236
2210,0.051810833,0.050581857,0.051757838,0.052073027,0.045994147,0.046413961
2220,0.051824625,0.050792804,0.052128262,0.052039847,0.048076597,0.045408859
2230,0.051838407,0.051978995,0.052389084,0.05200665,0.049394738,0.044740109
2240,0.051852178,0.052214446,0.052301788,0.051973435,0.048244568,0.042394645
2250,0.051865938,0.051863036,0.051657057,0.051940202,0.050615067,0.045556623
2260,0.051879688,0.051469142,0.051369498,0.051906951,0.049808111,0.048454067
2270,0.051893427,0.050756888,0.051625395,0.051873683,0.047032903,0.046556589
2280,0.051907155,0.050914364,0.052073815,0.051840397,0.048814323,0.046264861
2290,0.051920873,0.0521625,0.052349781,0.051807093,0.048868885,0.044799566
2300,0.05193458,0.0523805,0.052248623,0.051773772,0.047843496,0.042080401
2310,0.051948276,0.052115997,0.051658419,0.051740433,0.050594403,0.04488975
2320,0.051961962,0.051706953,0.051248629,0.051707077,0.049905626,0.047265407
2330,0.051975637,0.050978677,0.051461725,0.051673702,0.047897266,0.046543214
2340,0.051989301,0.051098598,0.052064381,0.051640311,0.04954462,0.047113757
2350,0.052002954,0.052323367,0.052323731,0.051606902,0.048122148,0.04521141
2360,0.052016597,0.052611205,0.052207435,0.051573475,0.047106904,0.042223372
2370,0.052030229,0.052333559,0.051649198,0.051540031,0.050066851,0.044253305
2380,0.05204385,0.051981908,0.051130274,0.051506569,0.049513212,0.046018647
2390,0.05205746,0.051226301,0.051324964,0.05147309,0.048606854,0.046535609
2400,0.05207106,0.051307492,0.052007818,0.051439593,0.050302547,0.048028705
2410,0.052084649,0.052488707,0.05233351,0.051406079,0.047511781,0.046056911
2420,0.052098227,0.0527899,0.052191766,0.051372547,0.046292096,0.043027756
2430,0.052111794,0.052561557,0.051637752,0.051338998,0.049281576,0.043920978
2440,0.052125351,0.052246759,0.051039505,0.051305432,0.048647062,0.044778363
2450,0.052138897,0.051506721,0.051233957,0.051271848,0.04876988,0.046289523
2460,0.052152432,0.051502348,0.051982482,0.051238247,0.050693497,0.048672897
2470,0.052165956,0.052635852,0.052337958,0.051204629,0.046829287,0.046844325
2480,0.052179469,0.052923343,0.052185119,0.051170994,0.045469714,0.044177164
2490,0.052192972,0.052775196,0.051669866,0.051137341,0.048288132,0.044045551
2500,0.052206463,0.052475314,0.050993438,0.051103671,0.047569287,0.043833361
2510,0.052219944,0.051763588,0.05119473,0.051069983,0.048630881,0.046131661
2520,0.052233414,0.051710747,0.052034272,0.051036279,0.050973373,0.049204715
2530,0.052246873,0.052734466,0.05237058,0.051002557,0.046293736,0.047556526
2540,0.052260322,0.053035827,0.052181012,0.050968818,0.04465828,0.045501257
2550,0.052273759,0.052907405,0.051738971,0.050935062,0.04699193,0.044348013
2560,0.052287186,0.05269201,0.051029079,0.050901288,0.046134783,0.043077288
2570,0.052300602,0.051970218,0.051183652,0.050867498,0.048064474,0.045951306
2580,0.052314006,0.051894164,0.052144785,0.05083369,0.050865885,0.049367946
2590,0.0523274,0.052763239,0.0524617,0.050799866,0.04596856,0.048022764
2600,0.052340783,0.053082555,0.052209345,0.050766024,0.044155343,0.046970904
2610,0.052354155,0.053012594,0.05183082,0.050732166,0.04586288,0.045124651
2620,0.052367517,0.052854537,0.051114491,0.05069829,0.044688261,0.042837318
2630,0.052380867,0.052131649,0.051244909,0.050664397,0.047239884,0.045884179
2640,0.052394206,0.052025149,0.052287785,0.050630488,0.050263718,0.049107884
2650,0.052407535,0.052727433,0.052584421,0.050596561,0.045639305,0.047953763
2660,0.052420853,0.05306917,0.05232288,0.050562617,0.043807576,0.048047899
2670,0.052434159,0.053089859,0.051940818,0.050528657,0.044761691,0.046068809
2680,0.052447455,0.052935842,0.051218723,0.05049468,0.043290882,0.043049425
2690,0.05246074,0.052263137,0.05136956,0.050460685,0.046354111,0.046053037
2700,0.052474013,0.05209177,0.052472392,0.050426674,0.049522318,0.048781682
2710,0.052487276,0.052652252,0.052730032,0.050392646,0.045594047,0.047752823
2720,0.052500528,0.052999664,0.052493159,0.050358602,0.043957474,0.048843821
2730,0.052513769,0.053105757,0.052098483,0.05032454,0.043920444,0.047025676
2740,0.052526999,0.052967993,0.051334419,0.050290462,0.041983039,0.043629546
2750,0.052540218,0.052342922,0.051512755,0.050256367,0.045247984,0.046221968
2760,0.052553426,0.052098711,0.052687156,0.050222255,0.048390522,0.0480904
2770,0.052566622,0.052515231,0.052908932,0.050188127,0.045494977,0.047242007
2780,0.052579808,0.052891626,0.052680637,0.050153981,0.044449903,0.049177833
2790,0.052592983,0.053102826,0.052293884,0.05011982,0.043572607,0.047838599
2800,0.052606147,0.05297236,0.051511248,0.050085641,0.041244428,0.044775077
2810,0.0526193,0.052377994,0.051669976,0.050051446,0.044388717,0.046810492
2820,0.052632442,0.052048192,0.052881933,0.050017234,0.047226638,0.047378567
2830,0.052645573,0.052323027,0.053132971,0.049983006,0.045344555,0.046450253
